cleaned_text,label
"as of march 13th , 2014 , the booklet had been downloaded over 18,300 times and counting .",normal
"in order to help increase the booklets downloads , it would be great if all stormfronters who had youtube accounts , could display the following text in the description boxes of their uploaded youtube videos .",normal
simply copy and paste the following text into your youtube videos description boxes.,normal
click below for a free download of a colorfully illustrated 132 page ebook on the zionistengineered intentional destruction of western civilization .,toxic
click on the  download  7.42 mb   green banner link .,normal
"booklet updated on feb. 14th , 2014 .",normal
"now with over 18,300 downloads.",normal
pdf file   _ 21414.docx watch the 10 hour video version of  the zionist attack on western civilization    _ white _ yt _ comment _  hyperlinked  .txt   hyperlinkedbackup  5d.txt  ? v  _ 8hg254alpm are you interested in helping spread the booklet download link across the world ?,normal
then why not simply copy this text   links  and paste it into the description box of your youtube videos ?,normal
thank you in advance.   download the youtube  description box  info text file below   _ info.txt,normal
"she may or may not be a jew but she s certainly stupid , she seems to think the blacks wo nt kill her alongside every other white they can get their dirty hands on , what a muppet !",toxic
thank you for the info. i will deffinetly look into them .,normal
i hope there is room for one more as i am very excited about this .,normal
i just came across this piece of garbage .,normal
comments say she is from sa .,normal
warning  graphic .,normal
die antwoord   cookie thumper   official video   youtube,normal
the whites are more in the range of 4.8 million .,normal
i believe this can be higher since i ve read reports that especially whites in the free state were not counted in the latest census .,normal
thank you for posting your story .,normal
i think you should write a book as well .,normal
"i ve always considered teaching as one of the professions i would like to get into , but not in a neighbourhood like that ... never. kids like that disgust me .",toxic
and the sad thing is the white students at those schools will act like that too .,toxic
"i guess i ll just stick to homeschooling my kids , when and if i have them ...",normal
randy blazak is an  expert  all righthe teaches  sociology of star trek  a credited class students actually pay for .,normal
no wonder young people ca nt get jobs .,normal
they take underwater basket weaving courses and they have no worthwhile skills on account of angry still my favorite comment .,normal
"old tarzan movies ,  zulu  , and  king kong  have many such images .",normal
national geographic magazines in the 1950s and early 1960s are replete with color photos of african villagers .,normal
dr. albert schweitzer s twohour documentary from 1958 was shown in movie theaters everywhere .,normal
i think vhs tapes are available at amazon .,normal
their gods often had pale skin and blue eyes but i suppose literacy is nt valued highly by their cultural intelligencia .,toxic
when the girl starts talking the guy in the middles lips start moving .,normal
"he was checking her lines , bad actors ca nt help themselves from doing this .",normal
this whole situation starts to become really bizarre .,normal
