cleaned_text,label
rt  as a woman you shouldnt complain about cleaning up your house. and as a man you should always take the trash out...,normal
rt  boy dats cold...tyga dwn bad for cuffin dat hoe in the 1st place!!,toxic
rt  dawg!!!! rt  you ever fuck a bitch and she start to cry? you be confused as shit,toxic
rt   she look like a tranny,toxic
rt  the shit you hear about me might be true or it might be faker than the bitch who told it to ya ;,toxic
the shit just blows me..claim you so faithful and down for somebody but still fucking with hoes! ;;;,toxic
i can not just sit up and hate on another bitch .. i got too much shit going on!,toxic
cause im tired of you big bitches coming for us skinny girls!!;,toxic
and you might not get ya bitch back and thats that,toxic
hobbies include fighting mariam bitch,toxic
keeks is a bitch she curves everyone  lol i walked into a conversation like this. smh,toxic
murda gang bitch its gang land,toxic
so hoes that smoke are losers ?  yea ... go on ig,toxic
bad bitches is the only thing that i like,toxic
bitch get up off me,toxic
bitch nigga miss me with it,toxic
bitch plz whatever,toxic
bitch who do you love,toxic
bitches get cut off everyday b,toxic
black bottle and a bad bitch,toxic
broke bitch cant tell me nothing,toxic
cancel that bitch like nino,toxic
cant you see these hoes wont change,toxic
fuck no that bitch dont even suck dick  ;;; the kermit videos bout to fuck ig up,toxic
got ya bitch tip toeing on my hardwood floors  ;,toxic
her pussy lips like heaven doors  ;,toxic
hoe what its hitting for,toxic
i met that pussy on ocean dr . i gave that pussy a pill  ;,toxic
i need a trippy bitch who fuck on hennessy,toxic
i spend my money how i want bitch its my business,toxic
i txt my old bitch my new bitch pussy wetter,toxic
id say im back to the old me but my old bitches would get excited  ;,toxic
if you aint bout that murder game pussy nigga shut up,toxic
if youre toes aint done you pussy stinks,toxic
im done with bitter bitches its a wrap for that . if you a angry bird theres a app for that,toxic
is that ya bitch,toxic
it aint nothing to cut a bitch off,toxic
jus meet son now he ya mane ass bitches,toxic
lames crying over hoes thats tears of a clown,toxic
like snoop said in 94 we dont love these hoes,toxic
momma said no pussy cats inside my doghouse,normal
most hated but the hoes favorite,toxic
"nice girls bad, make me get naughty. bad yello hoe, real nice body. down south chick, like em real thick",toxic
pimps up pimps up hoes down  future voice,toxic
post a picture of that pussy get 200 likes,toxic
pussy is a powerful drug  ;,toxic
quick piece of pussy call it a drive by,toxic
running round here like some brand new pussy thats bout to get fucked,toxic
these bitches even worst theyll send them guys for you,toxic
these hoes like niggas that spend money not talk bout it,toxic
we dont trust these niggas all these bitches,toxic
yall niggas b cuffing hoes cause yall aint never have bitches,toxic
you dodge a bullet  ; ; all da bitches i cut off pregnant or bound to be ....thank god ;;,toxic
young pill chamberlain these bitches love my music,toxic
teanna trump probably cleaner than most of these twitter hoes but.........,toxic
gay niggas couldnt wait to act like bitches tonight,toxic
and ima steal his cat n replace it with a pitbull ;;;; rt   he a bitch you should do it,toxic
and hes gone always be a hoe,toxic
son of a bitch took my tic tacs. i like this movie.,toxic
all i wanna do is get money and fuck model bitches!  russell simmons,toxic
i probably wouldn;t mind school as much if we didn;t have to deal with bitch ass teachers. retweet,toxic
im a fucking fag they said,toxic
females think dating a pussy is cute now?  how does doing this stuff make him a pussy?,toxic
simplyaddictedtoguys  woof woof hot scally lad,normal
have ya ever asked your bitch for other bitches  kanye voice yes,toxic
how u gone bring ur side bitch to a game where you know ya gf friends at ?! ;;;; i swear!!!!!,toxic
woof woof and hot soles,normal
lemmie eat a oreo and do these dishes. one oreo? lol,normal
bitch fuck u  maybe youll get better. just,toxic
fuck red malone man bitch ass niggah could you please use complete sentences?,toxic
why the eggplant emoji doe?y he say she looked like scream lmao,normal
hennessey venom gt ;  thats one sexy bitch,toxic
him seh me pussy wetter then a shower curtain....lt;lmao!!,toxic
and every  need to see that pic i just posted because that bitch just said the most racist shit,toxic
"yo fuck skateboarding, all yall some wood pushing faggots man, ball is life",toxic
baby monkey bathtime  awwwwe! this is soooo adorable!,normal
i aint shit . damn skippy lol,toxic
u ever kill a ant on the sidewalk and think damn what if that nigga was on his way to get some pussyno bs must b gt;30chance,toxic
0 rings 0 mvps 0 bitches lol,toxic
"ppl talk bad about the ghettohood ... but as a kid growing up, a nigga had funnnnnnn !",toxic
the facts on tattoos...tattoo  hes a pussy with not tattooing them nipples,toxic
rt  bitches be wanting to act like niggas so bad ;;; that shit aint cuteeeee but niggas act like bitches..,toxic
get worshiping bitch!  woof woof,toxic
wow. rt  im lost. are those buttcheek piercings?  yeah shes a hoe,toxic
"ok, sis. shed rather be a broke bitch? shrugs shell have to tell me how it works for her",toxic
queer gaywad,toxic
faggot read my tweets after dat k it wasnt even funny lol,toxic
this bitch was so ungrateful  fr ..... lulwhore,toxic
i been kidnapped yo bitch,toxic
alsarabsss hes a beaner smh you can tell hes a mexican,toxic
happy birthday nigs thanks yo,toxic
when ur teacher tells u that u have homework  this bitch need to go!!!,toxic
that nigga was eating that hoe lol hell yea lol john paul nigga said john paul..,toxic
what would yall lil ugly bald headed bitches do if they stop making makeup and weave?,toxic
leafs better win this damn game so i can go riot and shit  you better start looting my nig,toxic
going back to school sucks more dick than the hoes who attend it.,toxic
on my way to fuck yo bitch  me as a 9 year old,toxic
how come you never bring me food i dont have a car retard,toxic
if richnow doesnt show up with hella tinder hoes im not his friend anymore chill i brought like like 8 prople,toxic
how bout them cowboys!!!! shutup pussy,toxic
lmaooooooooooo this nigga   lt;bitch want likes for some depressing shit..foh,toxic
girl you know i was spitting that g shit to you and you was going lbvsbitch plz,toxic
"let me make a couple tweets off cuzzo page, so i wont get in twitter jail.lmao bitch dont trick me again",toxic
harlem shake is just an excuse to go full retard for 30 seconds.,toxic
amen miley ;  but she dont need to act like a hoe just bc shes emotionally damaged foh,toxic
"having one loyal female is wayyyyy better than having hoes , idc ;",toxic
