text,label,cleaned_text
"As of March 13th , 2014 , the booklet had been downloaded over 18,300 times and counting .",noHate,"as of march th ,  , the booklet had been downloaded over , times and counting ."
"In order to help increase the booklets downloads , it would be great if all Stormfronters who had YouTube accounts , could display the following text in the description boxes of their uploaded YouTube videos .",noHate,"in order to help increase the booklets downloads , it would be great if all stormfronters who had youtube accounts , could display the following text in the description boxes of their uploaded youtube videos ."
( Simply copy and paste the following text into your YouTube videos description boxes. ),noHate,simply copy and paste the following text into your youtube videos description boxes.
Click below for a FREE download of a colorfully illustrated 132 page e-book on the Zionist-engineered INTENTIONAL destruction of Western civilization .,hate,click below for a free download of a colorfully illustrated  page ebook on the zionistengineered intentional destruction of western civilization .
Click on the `` DOWNLOAD ( 7.42 MB ) '' green banner link .,noHate,click on the  download  . mb   green banner link .
"Booklet updated on Feb. 14th , 2014 .",noHate,"booklet updated on feb. th ,  ."
"( Now with over 18,300 Downloads. )",noHate,"now with over , downloads."
PDF file : http://www.mediafire.com/download/7p3p3goadvvqvsf/WNDebateBooklet_2-14-14.pdfMSWordfile:http://www.mediafire.com/download/psezkkk4d6a3wt1/WNDebateBooklet _ 2-14-14.docx Watch the 10 hour video version of `` The Zionist Attack on Western Civilization '' @ http://trutube.tv/video/14247/The-Zionist-Attack-on-Western-Civilization-Pages-1-33-Part-1-of-4-Banned-from-YouTubeNotepadPromotionalYouTubeComment:http://www.mediafire.com/download/96fg6ft02lyfruz/Booklet _ White _ YT _ Comment _ ( Hyperlinked ) .txt http://www.mediafire.com/download/zcn3wozjbwnezms/Booklet-White-YT-Comment- ( Hyperlinked-Back-Up % 5D.txt http://www.mediafire.com/download/9uyudq1yuxu1dur/Booklet+Comment+%28Firefox%29.txt2minutepromotionalBOOKLETvideo@http://www.youtube.com/watch ? v = _ 8hg254ALpM Are you interested in helping spread the booklet download link across the world ?,noHate,pdf file    .docx watch the  hour video version of  the zionist attack on western civilization     white  yt  comment   hyperlinked  .txt   hyperlinkedbackup  d.txt  ? v   hgalpm are you interested in helping spread the booklet download link across the world ?
Then why not simply copy this text ( & links ) and paste it into the description box of your YouTube videos ?,noHate,then why not simply copy this text   links  and paste it into the description box of your youtube videos ?
Thank you in advance. : ) Download the youtube `` description box '' info text file below @ http://www.mediafire.com/download/dqhn1czprr17o21/Booklet-Description-Box _ Info.txt,noHate,thank you in advance.   download the youtube  description box  info text file below    info.txt
"She may or may not be a Jew but she 's certainly stupid , she seems to think the Blacks wo n't kill her alongside every other White they can get their dirty hands on , what a muppet !",hate,"she may or may not be a jew but she s certainly stupid , she seems to think the blacks wo nt kill her alongside every other white they can get their dirty hands on , what a muppet !"
Thank you for the info. i will deffinetly look into them .,noHate,thank you for the info. i will deffinetly look into them .
I hope there is room for one more as i am very excited about this .,noHate,i hope there is room for one more as i am very excited about this .
I just came across this piece of garbage .,noHate,i just came across this piece of garbage .
Comments say she is from SA .,noHate,comments say she is from sa .
Warning : Graphic .,noHate,warning  graphic .
Die Antwoord - `` Cookie Thumper '' ( Official Video ) - YouTube,noHate,die antwoord   cookie thumper   official video   youtube
The whites are more in the range of 4.8 million .,noHate,the whites are more in the range of . million .
I believe this can be higher since I 've read reports that especially whites in the Free State were not counted in the latest census .,noHate,i believe this can be higher since i ve read reports that especially whites in the free state were not counted in the latest census .
Thank you for posting your story .,noHate,thank you for posting your story .
I think you should write a book as well .,noHate,i think you should write a book as well .
"I 've always considered teaching as one of the professions I would like to get into , but not in a neighbourhood like that ... never. kids like that disgust me .",hate,"i ve always considered teaching as one of the professions i would like to get into , but not in a neighbourhood like that ... never. kids like that disgust me ."
And the sad thing is the white students at those schools will act like that too .,hate,and the sad thing is the white students at those schools will act like that too .
"I guess I 'll just stick to homeschooling my kids , when and if I have them ...",noHate,"i guess i ll just stick to homeschooling my kids , when and if i have them ..."
Randy Blazak is an `` expert '' all right--he teaches `` Sociology of Star Trek '' --a credited class students actually pay for .,noHate,randy blazak is an  expert  all righthe teaches  sociology of star trek  a credited class students actually pay for .
No wonder young people ca n't get jobs .,noHate,no wonder young people ca nt get jobs .
They take underwater basket weaving courses and they have no worthwhile skills on account of angry still my favorite comment .,noHate,they take underwater basket weaving courses and they have no worthwhile skills on account of angry still my favorite comment .
"Old Tarzan movies , `` Zulu '' , and `` King Kong '' have many such images .",noHate,"old tarzan movies ,  zulu  , and  king kong  have many such images ."
National Geographic magazines in the 1950s and early 1960s are replete with color photos of African villagers .,noHate,national geographic magazines in the s and early s are replete with color photos of african villagers .
Dr. Albert Schweitzer 's two-hour documentary from 1958 was shown in movie theaters everywhere .,noHate,dr. albert schweitzer s twohour documentary from  was shown in movie theaters everywhere .
I think VHS tapes are available at Amazon .,noHate,i think vhs tapes are available at amazon .
Their gods often had pale skin and blue eyes but I suppose literacy is n't valued highly by their cultural intelligencia .,hate,their gods often had pale skin and blue eyes but i suppose literacy is nt valued highly by their cultural intelligencia .
When the girl starts talking the guy in the middles lips start moving .,noHate,when the girl starts talking the guy in the middles lips start moving .
"He was checking her lines , bad actors ca n't help themselves from doing this .",noHate,"he was checking her lines , bad actors ca nt help themselves from doing this ."
This whole situation starts to become really bizarre .,noHate,this whole situation starts to become really bizarre .
I was a Right Sector supporter but it starts to sound as if they are in fact just Israeli agents ......,noHate,i was a right sector supporter but it starts to sound as if they are in fact just israeli agents ......
I do n't know who to support anymore ................,noHate,i do nt know who to support anymore ................
I've read many post on here saying Israel gives training to US law enforcement .,noHate,ive read many post on here saying israel gives training to us law enforcement .
I remember after the Boston Marathon bombings watching Fox News and they said law enforcement was consulting Israel for advice .,noHate,i remember after the boston marathon bombings watching fox news and they said law enforcement was consulting israel for advice .
I believe his dog would like to get as far away from him as possible !,noHate,i believe his dog would like to get as far away from him as possible !
