cleaned_text,label
she should ask a few native americans what their take on this is.,toxic
go home youre drunk!!!    👊🇺🇸👊 url,toxic
amazon is investigating chinese employees who are selling internal data to thirdparty sellers looking for an edge in the competitive marketplace. url,normal
someone shouldvetaken this piece of shit to a volcano. 😂,toxic
obama wanted liberals and illegals to move into red states,normal
liberals are all kookoo !!!,toxic
oh noes! tough shit.,toxic
was literally just talking about this lol all mass shootings like that have been set ups. its propaganda used to divide us on major issues like gun control and terrorism,toxic
buy more icecream!!!,normal
canada doesnt need another cuck! we already have enough   fking up our great country!,toxic
its not my fault you support gun control,normal
whats the difference between  and    one of these men admitted to groping a 15 year old girl years ago.  the other is going to be  to the scj            url,normal
you are a lying corrupt traitor!!! nobody wants to hear anymore of your lies!!!  url,toxic
it should scare every american!  she is playing hockey with a warped puck!,normal
i like my soda like i like my boarders with a lot of ice.,normal
you are also the king of taste,normal
🎶 sing like no one is listening  ♥️ love like youve never been hurt  ✔️ vote gop when no one is watching  🙉  and dont listen to liberals dirt url,normal
55  the time is right for this house to respond to the concerns of all canadians. four out of five canadians support stronger gun control and with good reason.,normal
besides jaxs mom and maybe ope he is hands down my favorite hes like the only good person on the show 😂,normal
gun control! that is all these kids are asking for!,toxic
lol!!!   throwing the bullshit flag on such nonsense!!            url,toxic
you are correct.,normal
kind of like when conservatives wanna associate everyone to their left as communist antifa members?,toxic
da fuck is going on people?   theres the mens room and the womens room  pick one and stick w it 🤔,toxic
been a willie fan since before most of you were born....love that he is holding a rally with beto.... exactly which fans are furious?  could you give some specifics? url,normal
tbh these days i just dont like people in general i just dont connect with people these days just a annoyance..,toxic
south korean official leaders will discuss specific denuke measures in pyongyang  url,normal
you can tell he is a hooper too,normal
i feel like he is better chasing the title,normal
she?  to whom are you referring to?  hillary?  you know what is tiresome?  bernie supporters bashing hillary clinton.  she is an actual democrat who raises money for the democratic party and doesnt bash them.  she has a positive message.  so who is dividing the left?,toxic
glad to see your friends are supporting metis rights as much as you are supporting zionists. url,normal
yes you are but i was asking what is it about the movie ?🤷♂️👀,normal
the only thing the democrats have is lying and stalling to stop trump from being .  what have they done for you lately.,toxic
no wonder he is being apologetic and more social these day....,normal
any updates re ending your blatant  as  and  proves you are        url,normal
do you know whats going to happen now?  im going to have to lay in bed and cry while i listen to kelly clarkson. thanks free speech antifa.,normal
you are not very smart are you? why do you think gen flynns sentencing keeps being rescheduled? url,toxic
thats expected if you placate the violent leftiststerrorists.,toxic
blow hard,normal
that means you are a max lvl. twitter user and maybe should try a new game,normal
"please explain what controlled opposition means.  as for bernier escaping, he split with the rest of the conservatives because hes even more racist and exclusionary than they want to be.",normal
socialists politics that stand up for the downtrodden. and well done for conflating criticism of israel with anti semitism. you are also part of the problem.,normal
3. nina  one of the reasons i didnt read this book for so long was because i was so worried about her character. i shouldve trusted everyone. nina is a goddamn goddess i would die for a thousand times over. she is big and bold and lovely and perfect. her arc. is. perfect.,normal
please vote no on kavanaugh. he is not fit for scotus and allegations about women and shady financials should disqualify him.     matters.,normal
ppl who say im not racist are racist. you are a racist. repeat after me,normal
kathy the patriot🗽  you have to love our great president trump!!!  a spine of u.s. steel!! changing it! on trade and everything for americans!!     and        and      😀 🗽🗽🗽 😀,normal
wow you liberals really dont have a sense of humor.🙄,normal
im so fucking ready,normal
holy moly!! if the catholic people havent been awakened by this .....,normal
lol yeah per dina he is there everyday per claudia no horse got vet care unless it was for donation example limping etc,normal
what a surprise.... same as antifa. blm and so on and so on. soros is americas worst enemy in history. he believes the only way to take down the usa is from withing. and hes right. but its not gunna happen.,normal
me too! her wedding was the best! she is very pretty!,normal
no conflict heredont look at this.   involved in violent left agenda of antifa also.,normal
url any of your announcements every come to fruition or is it basically stealing labours ideas to get a few more votes,normal
4 out of 10 british people are basically fullon racists. 4 out of 10 voters vote for the conservatives. coincidence!???!???,toxic
advocates must stop falling all over themselves to assure electorate that they too love the horrific 2a url,normal
hi there! we love what a huge fan of camila mendes you are! would it be alright if we used your tweet about her in our promotional material?,normal
fuck off,toxic
certainly a weird view toward the margaret sanger geonicidal philosophy of aborting minorities.  id like to know if the black population that suffers the most shares her opinion,normal
the prison system is so fucked.  why are they still getting away with what is potentially murder with intent if the prisoners die in the hurricane? they did this in louisiana and like 500 inmates went missing,toxic
she is useless.  attempts to do the right thing but never follows through.,toxic
liberals......your party is poison. url,normal
grateful trump doesnt have a dog in the white house. he is a cruel man.,toxic
you are lying. stick with the facts. we pay more than that now.,normal
trump kicks dem butt  its so fun.,toxic
he is dumb and dumber all in one president.  its a two for one.,toxic
minister  attempted to expense 50 charity donation! its what   do!!     url,normal
ur so straight forword man👌 i saw u in dance dewwane and ur just talk free ky ap kitnay porrany ho industry mein and i really like ur this quality that u even gather with ur senior💚 artist love for  🤠👍,normal
and this from the clown that should be in prison?,toxic
did twitter silence alex jones in retaliation of him asking twitter jack questions      url,normal
thats because you are an old man.,toxic
they are obstructionists. antiamerican. pharisees. ask them what they are running on and you get nothing. maga!,toxic
no youre not..youre here 2 represent the alinskyite orwellian leftist toolandfool view on things..like 99.9 of the marxistsandantifa similar 2u..psst! and b4u use the words fascist or fascism again go ahead and read dsouzas book the big lie..right now u know squat about either..,normal
i do remember.  but somehow centrist antifahaters can never quite seem to bring themselves to condemn such things.,normal
i mean it worked for gun control right? url,toxic
i think the last thing on the wh or trumps mind is april ryan. she needs to stop flattering herself. shes not as important as she thinks she is.,normal
principled conservatives are,normal
dont forget  and democrat backed,normal
she is a beautiful person to teach values to her kids. teaching them they are royalty but keep to keep it from going to their heads. stay real ❤️,normal
bring out his antifa criminal son to campaign for him,normal
i didnt watch and will not watch  watching the september 11th stories and how we came together and stood shoulder to shoulder made me proud even with all of our issues yet the people playing a damn game cannot stand for this momentprotest on a saturday.,normal
a tear is made of 1 water and 99 feelings.,normal
trump addresses gun control representing the nra.  i will not let you down he says. url,normal
she is drinking so much koolaid shes bloated.,toxic
holder needs to be prosecuted,normal
but... but... both players were women. and both were women of color!,normal
the institution only let her tweet when she behaves. she is a window licker!!!!,toxic
babysitting 3 kids  peoplehow old do you think she is? she has three kids  medont get mad. dont get mad. they dont know. they dont know,normal
well...? url,normal
wtc this is a threat!!! ..    url,toxic
its easily digestible content.   theres no need for nuance or to even understand the story.  they can show a picture of an antifa and get the base level emotional response their content requires in order to be profitable.,normal
try looking for plain old democrats.  the liberals are the ones which you cant have a conversation with.,normal
great news! old moonbeam just went into a coma! 😂,normal
omg he is so extra ily,normal
please call trump out for what he is...a narcissistic sociopath!,toxic
unfortunately in america a system like that would be called racist. liberals believe exams are racist against minority groups.,normal
i know! she is still alive....but wondering if her career was railroaded? odd! loved her...especially that day!,normal
guy you are always present...bet why? lol,normal
what a baby! url,normal
you are very persuasive fam,normal
thats nothing new she was going to vote no anyway.....we will vote no to liberals in november.... url,normal
burt. a cool dude.,normal
if you are all in for  follow me and i will follow back.,normal
thank u!! im finally at the point where im okay with using heat on it again im so happy,normal
kind of like what trump does all the time huh?,normal
